Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Opel,Astra,0.6285714285714286,Universal,0.6965269191862425,0.30952380935941043,Diesel,Manual,0.0860323886639676,0.6139856577763981
Skoda,Superb,0.8,Sedan,0.4177812745869394,0.38095238080498867,Diesel,Automatic,0.23684210526315788,0.6448270098612736
Volkswagen,Amarok,0.7142857142857143,Pickup,0.33685511970327076,0.47619047606575965,Diesel,Manual,0.24696356275303644,0.3770227766550681
Mercedes,Vito,0.4,Minivan,0.5796335843542767,0.5238095236961452,Diesel,Automatic,0.04856275303643725,0.32384179417440323
Nissan,Qashqai,0.8571428571428571,Crossover,0.33910306845003935,0.3571428569897959,Diesel,Manual,0.26902834008097165,0.6982190279867031
BMW,5 Series,0.9142857142857143,Sedan,0.10306845003933911,0.47619047606575965,Petrol,Automatic,0.5475708502024291,0.3175107248314669
Renault,Megane,0.6857142857142857,Universal,0.5776329099696527,0.3571428569897959,Diesel,Manual,0.08904858299595142,0.5940117369584192
Ford,Mondeo,0.8571428571428571,Sedan,0.3750702483983365,0.3571428569897959,Diesel,Manual,0.25080971659919027,0.7725035749438223
Toyota,C-HR,0.9142857142857143,Crossover,0.2559289648196021,0.42857142843537416,Hybrid,Automatic,0.3269230769230769,0.7910747116831022
Nissan,Qashqai,0.8857142857142857,Crossover,0.35393953017871194,0.3571428569897959,Diesel,Manual,0.2305668016194332,0.8752019611120396
Toyota,Auris,0.8,Universal,0.42677306957401373,0.42857142843537416,Hybrid,Automatic,0.16983805668016194,0.6587553624157335
Toyota,C-HR,0.8857142857142857,Crossover,0.267168708553445,0.42857142843537416,Hybrid,Automatic,0.36821862348178136,0.6601481976711795
Renault,Kadjar,0.8571428571428571,Crossover,0.3373047094526245,0.3571428569897959,Diesel,Automatic,0.2601214574898785,0.6945048006388471
Lexus,NX Series,0.8285714285714286,SUV,0.33460717095650216,0.5952380951417234,Hybrid,Automatic,0.42813765182186236,0.5901084819687528
Volkswagen,Passat,0.5714285714285714,Sedan,0.48521973698999665,0.47619047606575965,Petrol,Automatic,0.09615384615384616,0.37322413504930635
Infiniti,Q Series,0.8571428571428571,Crossover,0.1974822974036192,0.3571428569897959,Diesel,Automatic,0.30748987854251014,0.40572362434304604
Volkswagen,Passat,0.6,Universal,0.7190064066539283,0.38095238080498867,Metan/Propan,Manual,0.1092914979757085,0.5914349917358441
Hyundai,Matrix,0.5714285714285714,Hatchback,0.6695515342250197,0.3571428569897959,Diesel,Manual,0.04856275303643725,0.5159897487325199
Honda,Civic,0.8857142857142857,Hatchback,0.060667640777790265,0.3571428569897959,Petrol,Automatic,0.25708502024291496,0.14835366872806285
Renault,Kadjar,0.8571428571428571,Crossover,0.314375632235585,0.3571428569897959,Diesel,Automatic,0.2388663967611336,0.6471484019536835
Skoda,Octavia,0.7428571428571429,Sedan,0.37282229965156793,0.38095238080498867,Diesel,Automatic,0.16983805668016194,0.4595799208869575
Skoda,Superb,0.6571428571428571,Sedan,0.5009553782173767,0.47619047606575965,Diesel,Automatic,0.16983805668016194,0.47500824987035917
Toyota,Corolla,0.5714285714285714,Universal,0.446022254692593,0.3333333331746032,Diesel,Automatic,0.09615384615384616,0.3428655496127918
Volvo,S80,0.4,Sedan,0.45531752276048104,0.6666666665873017,Petrol,Automatic,0.06880566801619434,0.25381763481379055
Land Rover,Freelander,0.4,SUV,0.5166910194447567,0.47619047606575965,Diesel,Manual,0.043522267206477734,0.28838780585395996
BMW,5 Series,0.9142857142857143,Sedan,0.18399460492300776,0.47619047606575965,Diesel,Automatic,0.6761133603238867,0.5682210708117443
Volkswagen,Passat,0.2571428571428571,Universal,0.5624794874676857,0.42857142843537416,Petrol,Manual,0.04251012145748988,0.255471779094265
